Name,Age,Nominating party,Political party,Votes 2018,Percentual gain 2018,Ballot rank,Final rank,Mandate
Slanina Petr Mgr. MBA,44,VČ,VČ,906.0,2.37,28,-,-
Slavík Ondřej BBA,29,ODS,ODS,3012.0,2.65,17,12,-
Slováková Olga Mgr.,49,STAN,BEZPP,1065.0,2.79,6,-,-
Smetana David,46,KDU-ČSL,KDU-ČSL,1882.0,2.5,30,27,-
Sofka Jakub Bc.,26,TOP 09,TOP 09,1215.0,2.67,7,-,-
Sochová Zdena,61,KSČM,KSČM,1838.0,2.7,13,10,-
Sommer Milan Ing.,61,TOP 09,TOP 09,1221.0,2.68,11,-,-
Soukeníková Kamila Ing.,55,KDU-ČSL,BEZPP,1968.0,2.62,14,11,-
Soukup Martin Ing.,52,ODS,ODS,3481.0,3.06,10,4,*
Sova Jiří PharmDr.,58,HDK,HDK,5147.0,2.96,3,4,*
Springer Vladimír Mgr.,73,HDK,HDK,4811.0,2.77,19,12,-
Springerová Pavlína Mgr. et Mgr. Ph.D.,41,HDK,HDK,5839.0,3.36,2,2,*
Staněk František DiS.,61,TOP 09,TOP 09,1528.0,3.36,5,-,-
Steklý Josef,65,KSČM,KSČM,1845.0,2.71,12,9,-
Stoklas David Bc.,35,ODS,ODS,2571.0,2.26,35,30,-
Stránský Josef,69,KSČM,KSČM,1780.0,2.61,24,21,-
Strejčková Simona Ing.,44,Zelení,Zelení,2206.0,2.91,3,3,-
Střelka Valdemar,46,SPD,SPD,1286.0,2.76,7,-,-
Svatoňová Edita Bc.,30,HP,HP,1414.0,2.67,6,-,-
Svobodová Vladimíra Ing.,49,STAN,BEZPP,964.0,2.52,16,-,-
Šándorová Zdenka PaedDr. Ph.D.,56,ČSSD,ČSSD,1059.0,2.87,8,-,-
Šanovec Petr,42,HDK,HDK,4205.0,2.42,33,26,-
Šarounová Dominika Bc.,27,NK,BEZPP,1306.0,2.46,27,-,-
Šec Roman,50,SPD,SPD,1235.0,2.65,21,-,-
Šeda Jakub,47,ČSSD,ČSSD,798.0,2.16,36,-,-
Šejvl Josef,46,ODS,ODS,3059.0,2.69,11,6,-
Šenková Věra Bc.,55,ODS,ODS,3246.0,2.85,4,2,-
Šikula Rudolf,70,KSČM,KSČM,1736.0,2.55,30,27,-
Šikulová Marcela,67,KSČM,KSČM,1791.0,2.63,21,18,-
Šimáčková Hana Mgr.,33,Nestran.,BEZPP,2439.0,3.24,2,1,-
Široká Eva,58,Soukromníci,BEZPP,97.0,2.08,12,-,-
Široký David,39,Soukromníci,BEZPP,98.0,2.1,33,-,-
Široký Jaroslav,62,Soukromníci,BEZPP,97.0,2.08,16,-,-
Šírová Tereza,24,Soukromníci,BEZPP,109.0,2.34,21,-,-
Škáchová Dana,56,ANO,BEZPP,7062.0,2.67,24,13,-
Škorpil Ladislav,73,HDK,BEZPP,5201.0,2.99,14,3,*
Škvrna Pavel Ing.,47,SPD,SPD,1298.0,2.79,15,-,-
Šmída Jakub,45,Soukromníci,BEZPP,86.0,1.84,34,-,-
Šonka Pavel,72,HDK,HDK,3878.0,2.23,35,28,-
Šormová Táňa Mgr.,62,KSČM,KSČM,2304.0,3.38,1,1,*
Šoula Martin Mgr.,26,HDK,BEZPP,3973.0,2.29,34,27,-
"Špaček Jiří prof. MUDr. Ph.D., IFEPAG",61,STAN,BEZPP,1434.0,3.76,12,-,-
Špaček Lubomír,45,Piráti,Piráti,3235.0,2.86,6,2,-
Špalovský Jiří,44,Piráti,BEZPP,2194.0,1.94,37,32,-
Špilka Radim Mgr. Ph.D.,36,NK,BEZPP,1579.0,2.08,37,34,-
Šťastný Martin,38,TOP 09,TOP 09,994.0,2.18,29,-,-
Štayrová Monika Ing.,55,ANO,ANO,7754.0,2.93,1,1,*
Štěchovský Jaroslav Ing.,76,HDK,HDK,4283.0,2.46,30,23,-
Štěpán Jan Ing.,54,TOP 09,TOP 09,830.0,1.82,35,-,-
Štěpán Jiří PhDr. Ph.D.,39,ČSSD,ČSSD,1285.0,3.48,12,-,-
Štěpán Lubomír Ing.,64,KSČM,KSČM,2205.0,3.24,5,2,*
Štěpánek Arnošt Mgr. MBA,50,Piráti,BEZPP,3173.0,2.8,11,6,-
Štěpánek Jan,18,TOP 09,TOP 09,1067.0,2.35,25,-,-
Štilec Roman MUDr. Ph.D.,55,Svobodní,BEZPP,997.0,2.61,17,-,-
Štipl Stanislav Ing.,29,Piráti,Piráti,3037.0,2.68,21,16,-
Šubrt Jan JUDr.,66,ČSSD,ČSSD,939.0,2.54,20,-,-
Tesner Jiří,37,ODS,ODS,3199.0,2.81,6,4,-
Tláskal Ivan Ing.,53,NK,BEZPP,2185.0,2.88,9,6,-
Tomášek Pavel,42,HDK,BEZPP,4676.0,2.69,11,5,-
Tomek Otto,51,SPD,BEZPP,1265.0,2.71,12,-,-
Tomš Jan MUDr.,41,STAN,BEZPP,1013.0,2.65,18,-,-
Tomšík Pavel MUDr. Ph.D.,41,NK,BEZPP,1867.0,2.46,29,26,-
Tomšová Zdeňka DiS.,41,STAN,BEZPP,849.0,2.22,32,-,-
Tošovský Petr,67,ČSSD,ČSSD,994.0,2.69,18,-,-
Trojan Miroslav,70,Svobodní,Svobodní,887.0,2.32,23,-,-
Trojanová Lada Mgr.,49,TOP 09,BEZPP,1218.0,2.68,16,-,-
Turek Roman,45,ČSSD,ČSSD,880.0,2.38,29,-,-
Turková Andrea,38,ANO,ANO,7578.0,2.87,4,4,*
Uhlíř Richard Bc.,36,TOP 09,TOP 09,1230.0,2.7,22,-,-
Uhlíř Tomáš Mgr.,69,TOP 09,TOP 09,1013.0,2.23,28,-,-
Urban Arnošt JUDr.,63,HDK,HDK,4965.0,2.86,9,3,-
Urminský Miroslav,69,ODS,ODS,2932.0,2.57,26,21,-
Vacek Pavel doc. PhDr. Ph.D.,70,Piráti,BEZPP,3474.0,3.07,8,4,*
Vaněk Jaroslav,65,KSČM,KSČM,1799.0,2.64,18,15,-
Vanžura Václav,71,KSČM,KSČM,1689.0,2.48,35,32,-
Váša Martin MUDr. Ph.D.,51,HDK,BEZPP,4397.0,2.53,31,24,-
Vašata Václav Ing.,75,ČSSD,ČSSD,988.0,2.67,21,-,-
Vedlich Jindřich PaedDr. Ph.D.,52,NK,BEZPP,3115.0,5.88,1,-,-
Vejprava Michal Bc.,45,ANO,ANO,7179.0,2.72,18,7,-
Velíková Jana,63,KSČM,BEZPP,1772.0,2.6,23,20,-
Velínská Lenka,59,HP,BEZPP,1212.0,2.29,33,-,-
Věříšová Libuše,49,Piráti,BEZPP,3103.0,2.74,13,8,-
Veselá Ivana,62,Soukromníci,BEZPP,117.0,2.51,8,-,-
Veselá Marcela Mgr.,29,NK,BEZPP,2003.0,2.64,21,18,-
Veverka Pavel,37,KDU-ČSL,KDU-ČSL,1529.0,2.03,35,32,-
Vičarová Hana,65,Soukromníci,BEZPP,79.0,1.69,35,-,-
Viesner Robert,45,Soukromníci,BEZPP,100.0,2.15,25,-,-
Vik Robin,38,HDK,BEZPP,4758.0,2.74,7,1,-
Víšková Eva,66,TOP 09,TOP 09,1406.0,3.09,6,-,-
Vít Jakub Bc.,29,ODS,ODS,3347.0,2.94,3,1,-
Vít Oldřich Ing.,42,KDU-ČSL,BEZPP,1649.0,2.19,34,31,-
Vítek Jan,71,SPD,SPD,1217.0,2.61,25,-,-
Vítová Stanislava,73,KSČM,KSČM,1758.0,2.58,27,24,-
Vízek Lukáš Mgr. Ph.D.,33,TOP 09,TOP 09,1207.0,2.65,17,-,-
Vlasák Jiří,47,HP,HP,1177.0,2.22,34,-,-
Vlasák Oldřich Ing.,62,ODS,ODS,3831.0,3.37,7,1,*
Vohralíková Miroslava PhDr.,65,KSČM,KSČM,1855.0,2.72,17,14,-
Vojáček Jiří Mgr.,52,KDU-ČSL,KDU-ČSL,2601.0,3.46,6,3,*
Vojkůvková Iva Mgr.,48,KDU-ČSL,BEZPP,1820.0,2.42,28,25,-
Vojtas Jaroslav,43,ČSSD,ČSSD,977.0,2.64,15,-,-
Vojtasová Iveta,43,ČSSD,ČSSD,928.0,2.51,24,-,-
Volejník Miroslav Mgr.,48,HDK,BEZPP,4734.0,2.72,22,15,-
Vondra Stanislav,71,KSČM,KSČM,1750.0,2.57,28,25,-
Vošoust Petr,47,TOP 09,TOP 09,1627.0,3.58,2,-,-
Vrabec Ondřej,43,ANO,ANO,7331.0,2.77,12,1,-
Vrběcký Petr MgA.,44,KDU-ČSL,BEZPP,2105.0,2.8,17,14,-
Vrbica Tomáš MUDr.,45,Svobodní,BEZPP,1051.0,2.75,11,-,-
Vrbický Miroslav,26,TOP 09,TOP 09,1169.0,2.57,12,-,-
Vrbický Pavel Ing.,50,Piráti,Piráti,3828.0,3.38,1,1,*
Vrbová Martina PhDr. MBA,44,NK,BEZPP,1691.0,3.19,3,-,-
Vrzáň Petr Ing.,51,SPD,SPD,1512.0,3.25,1,-,-
Vydarená Jaroslava Mgr.,54,STAN,BEZPP,1009.0,2.64,8,-,-
Wildt Petr JUDr. Ph.D.,55,ODS,ODS,2514.0,2.21,36,31,-
Zábranský Lukáš PhDr. Ph.D.,39,ČSSD,BEZPP,1019.0,2.76,17,-,-
Zadrobílek Pavel Ing. arch.,48,STAN,BEZPP,1400.0,3.67,10,-,-
Zajíc Jan Ing.,30,KDU-ČSL,BEZPP,2137.0,2.84,11,8,-
Zajíc Jiří MUDr.,56,NK,BEZPP,2549.0,3.36,5,1,-
Záruba Adam Ing. Ph.D.,39,NK,BEZPP,3012.0,3.97,1,1,*
Zbraněk Miloslav,44,NK,BEZPP,1400.0,2.64,10,-,-
Zdechovský Tomáš Mgr. et Mgr. et Mgr.,38,KDU-ČSL,KDU-ČSL,2219.0,2.95,10,7,-
Zelený Richard,63,ČSSD,ČSSD,931.0,2.52,28,-,-
Zelinka Zdeněk,47,KSČM,KSČM,2053.0,3.01,3,2,-
Zeman Jan Mgr.,39,Piráti,Piráti,3633.0,3.21,3,3,*
Zeman Jiří Mgr.,37,Zelení,Zelení,1772.0,2.33,31,28,-
Zeman Tomáš,40,STAN,BEZPP,921.0,2.41,24,-,-
Zídková Lenka Ing. arch.,65,ODS,ODS,3065.0,2.69,25,20,-
Zichová Kateřina Ing.,26,STAN,BEZPP,941.0,2.46,22,-,-
Zikl Jan Ing.,33,ANO,BEZPP,6758.0,2.56,33,22,-
Zikmund Ladislav PhDr.,32,NK,BEZPP,2158.0,2.84,11,8,-
Zolman Zdeněk,42,HDK,BEZPP,4413.0,2.54,29,22,-
Žák Libor Bc.,43,ČSSD,ČSSD,1016.0,2.75,4,-,-
Žalman David,31,ANO,BEZPP,6616.0,2.5,34,23,-
